"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Albyn School After School Club","Aberdeen","AB15 4PB","Albyn School Limited","No","2015_12",NA,"Aberdeen City",3.65,100,"Children","Mix",4,5,"Same","28/11/2016",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Housing Support Service",NA,"Voluntary or Not for Profit","Crossroads Caring Scotland - Falkirk Housing Support Service","Alloa","FK10 3LP","Crossroads Caring Scotland","No","2015_10",NA,"Clackmannanshire",4.5,0,"Adults","Mix",4,5,"Same","22/06/2023",5,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","01/06/2023"
"Child Minding",NA,"Private","Suzanne's Childminding Services","Denny",NA,NA,"No","2016_2",NA,"Falkirk",1,6,"Children","Mix",4,4,"Same","07/02/2017",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Keir, Linda","Aberdeen",NA,NA,"No","2015_11",NA,"Aberdeenshire",1,7,"Children","5 or 6",5,5,"Same","07/02/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Housing Support Service",NA,"Voluntary or Not for Profit","Edinburgh Mental Health Service","Edinburgh","EH7 6AE","Link Group Limited","No","2016_4",NA,"City of Edinburgh",43.98,0,"Adults","5 or 6",5,5,"Same","20/04/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"28/02/2023"
"Child Minding",NA,"Private","Logie Bears","Aboyne",NA,NA,"No","2015_12",NA,"Aberdeenshire",NA,7,"Children","Mix",4,4,"Same","29/05/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","17/04/2023"
"Child Minding",NA,"Private","Collette's Childminding Service","Glasgow",NA,NA,"No","2016_1",NA,"Glasgow City",1,6,"Children","Mix",4,4,"Same","20/03/2017",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Wriggles","Forfar",NA,NA,"No","2016_4",NA,"Angus",1,6,"Children","Mix",4,5,"Same","22/05/2019",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/04/2019"
"Day Care of Children","Day Care of Children (under 3s)","Private","Cornerstones Nursery","Blairgowrie","PH10 7BS","Hartley and Gordon Nurseries Limited","No","2016_7",NA,"Perth & Kinross",14.47,47,"Children","Mix",4,4,"Same","26/04/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/03/2021"
"Child Minding",NA,"Private","Sarah's Childminding Service","Westhill",NA,NA,"No","2016_3",NA,"Aberdeenshire",1,6,"Children","Mix",4,5,"Same","07/02/2023",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"12/01/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Jedburgh Services","Duns","TD11 3GA","Community Integrated Care","No","2016_7",NA,"Scottish Borders",7.5,0,"Adults","5 or 6",5,6,"Same","13/06/2023",5,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","01/06/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Tannoch Tots Nursery","Uddingston","G71 5PG","C & H Childcare Limited","No","2016_4",NA,"North Lanarkshire",23,121,"Children","Mix",4,4,"Same","21/12/2022",NA,NA,4,4,4,4,NA,1,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"17/11/2022"
"Day Care of Children","Day Care of Children (under 3s)","Private","Family Tree Childcare","Glasgow","G72 0DR","Alrose Ltd","No","2016_5",NA,"South Lanarkshire",7.6,82,"Children","Mix",3,4,"Same","08/08/2023",NA,NA,3,3,3,4,NA,2,NA,NA,NA,NA,"Inspected but no requirements","Yes","Yes","02/08/2023"
"Care Home Service","Children & Young People","Local Authority","Taizali Supported Accommodation","Fraserburgh","AB43 9BF","Aberdeenshire Council","Yes","2016_2",NA,"Aberdeenshire",5.5,4,"Children","Mix",4,4,"Same","25/09/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"01/07/2022"
"Nurse Agency",NA,"Private","Medacs Healthcare","Glasgow","G1 2JA","Medacs Healthcare plc","No","2017_11",NA,"Glasgow City",4,NA,"Adults","5 or 6",5,5,"Same","14/05/2019",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/02/2019"
"Care Home Service","Children & Young People","Private","Horizons Residential Care - Hillview House","Edinburgh","EH12 8SS","Horizons Residential Care Limited","No","2016_2",NA,"City of Edinburgh",10,5,"Children","Mix",4,4,"Same","08/02/2023",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"27/10/2022"
"Child Minding",NA,"Private","Sweet Home","Friockheim",NA,NA,"No","2016_2",NA,"Angus",1.75,9,"Children","Mix",3,4,"Same","11/08/2023",NA,NA,4,3,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","Yes","14/07/2023"
"Child Minding",NA,"Private","Gillian & John Adams Early Learning & Childcare","Dundee",NA,NA,"No","2016_1",NA,"Dundee City",1,6,"Children","5 or 6",5,5,"Same","13/10/2022",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/08/2022"
"Child Minding",NA,"Private","Safe Hands Childminding","Glasgow",NA,NA,"No","2016_3",NA,"Glasgow City",NA,6,"Children","Mix",4,5,"Same","07/02/2017",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Emma's Childminding","Loanhead",NA,NA,"No","2016_2",NA,"Midlothian",1,6,"Children","Mix",4,4,"Same","19/11/2018",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/09/2018"
"Day Care of Children","Day Care of Children (under 3s)","Private","Thrive Childcare and Education Happitots Boddam","Peterhead","AB42 3AR","Bertram Nurseries Limited","No","2016_4",NA,"Aberdeenshire",11,58,"Children","Mix",3,4,"Same","15/07/2022",NA,NA,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"26/05/2022"
"Child Minding",NA,"Private","Nicola Thompson Childminding","Elgin",NA,NA,"No","2015_12",NA,"Moray",NA,6,"Children","Mix",4,5,"Same","05/03/2018",NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/01/2018"
"Housing Support Service",NA,"Local Authority","West Dunbartonshire HSCP Learning Disability Service - Community Connections","Dumbarton","G82 1HY","West Dunbartonshire Council","Yes","2016_1",NA,"West Dunbartonshire",12.83,55,"Adults","5 or 6",5,5,"Same","31/07/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","16/05/2023"
"Child Minding",NA,"Private","Whyte, Jenny","Perth",NA,NA,"No","2015_12",NA,"Perth & Kinross",NA,6,"Children","5 or 6",5,5,"Same","11/04/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Little Giggles Childminding","Bathgate",NA,NA,"No","2015_12",NA,"West Lothian",NA,6,"Children","Mix",4,4,"Same","28/12/2016",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Amanda's Wee Pandas","Bathgate",NA,NA,"No","2015_11",NA,"West Lothian",1,6,"Children","5 or 6",5,5,"Same","05/12/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/11/2017"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","LASC Childcare Services Ltd (The Link)","Loanhead","EH20 9HG","LASC Childcare Services Ltd","No","2016_5",NA,"Midlothian",11.64,85,"Children","Mix",4,4,"Same","07/06/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","05/05/2023"
"Child Minding",NA,"Private","Lisa Anderson Childminding","Inverurie",NA,NA,"No","2015_12",NA,"Aberdeenshire",1,7,"Children","Mix",4,5,"Same","19/07/2023",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","28/06/2023"
"Child Minding",NA,"Private","Leanne Kohler Childminding","Bathgate",NA,NA,"No","2016_1",NA,"West Lothian",NA,6,"Children","Mix",4,5,"Same","31/07/2017",NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/07/2017"
"Child Minding",NA,"Private","Pennicott, Michelle","Falkirk",NA,NA,"No","2016_2",NA,"Falkirk",NA,6,"Children","Mix",4,5,"Same","29/09/2017",NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/06/2017"
"Child Minding",NA,"Private","Hayley's Childminding Service","Alloa",NA,NA,"No","2016_1",NA,"Clackmannanshire",NA,6,"Children","Mix",4,5,"Same","15/11/2017",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/09/2017"
"Child Minding",NA,"Private","My Little Butterflies","Inverness",NA,NA,"No","2016_2",NA,"Highland",NA,6,"Children","Mix",3,4,"Same","14/09/2023",NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","18/08/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Auchinbee Nursery and Out of School Care","Glasgow","G68 0ET","Auchinbee Care Limited","No","2016_8",NA,"North Lanarkshire",17.58,116,"Children","Mix",3,4,"Same","22/08/2023",NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","21/07/2023"
"Child Minding",NA,"Private","Carole's Kiddies","Erskine",NA,NA,"No","2016_1",NA,"Renfrewshire",NA,6,"Children","Mix",4,5,"Same","23/06/2022",NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/05/2022"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Broomfield","Montrose","DD10 8SY","Real Life Options","No","2016_5",NA,"Angus",25.25,13,"Adults","Mix",4,5,"Same","21/03/2023",4,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"01/02/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Broomfield","Montrose","DD10 8SY","Real Life Options","No","2016_5",NA,"Angus",0.1,13,"Adults","Mix",4,5,"Same","21/03/2023",4,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Portlethen","Portlethen","AB12 4TA","Real Life Options","No","2016_3",NA,"Aberdeenshire",11.3,11,"Adults","Mix",4,5,"Same","20/03/2020",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/02/2020"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Portlethen","Portlethen","AB12 4TA","Real Life Options","No","2016_3",NA,"Aberdeenshire",0.1,11,"Adults","Mix",4,5,"Same","20/03/2020",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/02/2020"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Inverurie","Inverurie","AB51 3WL","Real Life Options","No","2016_3",NA,"Aberdeenshire",31.6,0,"Adults","Mix",3,4,"Same","17/02/2022",4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"08/02/2022"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Inverurie","Inverurie","AB51 3WL","Real Life Options","No","2016_3",NA,"Aberdeenshire",0.1,0,"Adults","Mix",3,4,"Same","17/02/2022",4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08/02/2022"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Elgin","Elgin","IV30 4EJ","Real Life Options","No","2016_3",NA,"Moray",28.69,11,"Adults","5 or 6",5,5,"Same","16/07/2021",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"08/06/2021"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Elgin","Elgin","IV30 4EJ","Real Life Options","No","2016_3",NA,"Moray",0.1,11,"Adults","5 or 6",5,5,"Same","16/07/2021",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08/06/2021"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Macduff","Macduff","AB44 1TX","Real Life Options","No","2016_4",NA,"Aberdeenshire",28.06,14,"Adults","5 or 6",5,5,"Same","29/01/2020",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/12/2019"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Macduff","Macduff","AB44 1TX","Real Life Options","No","2016_4",NA,"Aberdeenshire",0.1,14,"Adults","5 or 6",5,5,"Same","29/01/2020",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/12/2019"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Bathgate Gideon Street","Bathgate","EH48 4HD","Real Life Options","No","2017_9",NA,"West Lothian",8.5,0,"Adults","Mix",4,5,"Same","24/04/2023",5,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"Inspected but no requirements","19/04/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Bathgate Gideon Street","Bathgate","EH48 4HD","Real Life Options","No","2017_9",NA,"West Lothian",0.1,0,"Adults","Mix",4,5,"Same","24/04/2023",5,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19/04/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Scallywags Children's Nursery Loanhead","Loanhead","EH20 9RP","Scallywags Children's Nursery Loanhead Limited","No","2016_5",NA,"Midlothian",12.06,80,"Children","Mix",4,4,"Same","06/07/2017",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/05/2017"
"Child Minding",NA,"Private","Karen's Childminding Service","Glasgow",NA,NA,"No","2016_1",NA,"North Lanarkshire",NA,6,"Children","Mix",4,5,"Same","27/11/2019",NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25/10/2019"
"Child Minding",NA,"Private","Kimberley McLean Childminding Services","Aberdeen",NA,NA,"No","2016_3",NA,"Aberdeen City",1,6,"Children","5 or 6",5,5,"Same","20/03/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options North East Fife Services","Cupar","KY15 5RS","Real Life Options","No","2016_4",NA,"Fife",24.4,6,"Adults","Mix",3,3,"Same","18/10/2022",3,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"29/08/2022"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options North East Fife Services","Cupar","KY15 5RS","Real Life Options","No","2016_4",NA,"Fife",0.1,6,"Adults","Mix",3,3,"Same","18/10/2022",3,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/08/2022"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Glenrothes Services","Glenrothes","KY7 4AJ","Real Life Options","No","2016_4",NA,"Fife",34.35,24,"Adults","Mix",4,5,"Same","19/06/2023",4,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","26/04/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Glenrothes Services","Glenrothes","KY7 4AJ","Real Life Options","No","2016_4",NA,"Fife",0.1,28,"Adults","Mix",4,5,"Same","19/06/2023",4,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/04/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Real Life Options Glasgow - Glenwood Service","Glasgow","G32 9AT","Real Life Options","No","2016_4",NA,"Glasgow City",44.18,25,"Adults","Mix",4,5,"Same","20/06/2019",4,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15/05/2019"
"Support Service","Care at Home","Voluntary or Not for Profit","Real Life Options Glasgow - Glenwood Service","Glasgow","G32 9AT","Real Life Options","No","2016_4",NA,"Glasgow City",0.1,0,"Adults","Mix",4,5,"Same","20/06/2019",4,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15/05/2019"
"Child Minding",NA,"Private","Lindsay's Childminding Service","Campbeltown",NA,NA,"No","2016_4",NA,"Argyll & Bute",1,6,"Children","5 or 6",5,5,"Same","21/06/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06/06/2017"
"Child Minding",NA,"Private","Pamela's Penguins Childminding Service","Glasgow",NA,NA,"No","2016_1",NA,"Glasgow City",1,6,"Children","Mix",4,4,"Same","20/03/2017",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Tinytots Childminding","Airdrie",NA,NA,"No","2016_3",NA,"North Lanarkshire",NA,7,"Children","Mix",4,5,"Same","05/09/2022",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"31/08/2022"
"Child Minding",NA,"Private","Denise Whitelaw Registered Childminder","Wick",NA,NA,"No","2016_2",NA,"Highland",1,6,"Children","Mix",4,5,"Same","04/10/2022",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"23/08/2022"
"Child Minding",NA,"Private","Kerry Childminding","Inverurie",NA,NA,"No","2016_2",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","24/03/2023",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"20/02/2023"
"Child Minding",NA,"Private","Jenna Lunam Childminding","Dunbar",NA,NA,"No","2016_2",NA,"East Lothian",NA,6,"Children","Mix",4,4,"Same","12/01/2022",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"12/11/2021"
"Care Home Service","Older People","Private","Hawkhill House Nursing Home","Milltimber","AB13 0DQ","Caring Homes (TFP) Group Ltd","No","2016_8","Older people - dementia","Aberdeen City",62.4,41,"Adults","Mix",3,3,"Same","16/02/2021",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/02/2021"
"Child Minding",NA,"Private","Happy Bees","Westhill",NA,NA,"No","2016_2",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","07/02/2019",NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/12/2018"
"Care Home Service","Older People","Private","Lochbank","Forfar","DD8 1DW","Thomas Dailey trading as Kennedy Care Group","No","2016_4","Older people - dementia","Angus",40.88,35,"Adults","Mix",2,3,"Same","02/08/2023",2,3,3,3,2,NA,NA,NA,NA,NA,NA,1,"Inspected but no requirements","Yes","Yes","25/09/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","B.A.S.I.C. and Corner House Nursery","Helensburgh","G84 7QQ","BASIC,  a Scottish Charitable Incorporated Organisation","No","2016_2",NA,"Argyll & Bute",8.47,70,"Children","Mix",4,4,"Same","10/06/2019",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/04/2019"
"Support Service","Care at Home","Voluntary or Not for Profit","Homelink Caithness","Wick","KW1 5BA","Pulteneytown People's Project","No","2016_5",NA,"Highland",16.7,0,"Adults","Mix",4,5,"Same","21/06/2023",4,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/05/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Sunbeams Nursery","Dunoon","PA23 7SJ","Innellan and Toward Family Centre a Scottish Charitable Incorporated Organisation","No","2016_4",NA,"Argyll & Bute",1.85,24,"Children","Mix",4,4,"Same","08/06/2018",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/05/2018"
"Care Home Service","Learning Disabilities","Private","Mannering Avenue","Dumfries","DG2 0NG","Voyage 1 Limited","No","2016_5","Learning difficulties","Dumfries & Galloway",29.48,8,"Adults","Mix",4,5,"Same","18/05/2022",5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"04/05/2022"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Pencaitland After School Club","Pencaitland","EH34 5EZ","Edinburgh and Lothians out of School Care Network.","No","2016_3",NA,"East Lothian",1.5,40,"Children","Mix",3,4,"Same","17/08/2022",NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","27/09/2023"
"Child Minding",NA,"Private","Happy Bunnies","Dundee",NA,NA,"No","2016_2",NA,"Dundee City",NA,6,"Children","5 or 6",5,5,"Same","16/02/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Gorebridge Out of School Care","Gorebridge","EH23 4XA","Gorebridge Out of School Care a Scottish Charitable Incorporated Organisation","No","2017_2",NA,"Midlothian",5.2,76,"Children","Mix",4,4,"Improve","11/09/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","15/08/2023"
"Day Care of Children","Day Care of Children (over 3s)","Private","Insafe Hands (Newmains)","Renfrew","PA4 0DA","Insafe Hands Childcare Limited","No","2016_8",NA,"Renfrewshire",2.5,40,"Children","Mix",4,4,"Same","11/01/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/12/2020"
"Support Service","Care at Home","Private","Contrast Care Limited","Beauly","IV4 7DP","Contrast Care Limited","No","2016_4",NA,"Highland",28.8,0,"Adults","5 or 6",5,5,"Same","25/07/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","05/07/2023"
"Child Minding",NA,"Private","Heather Morrison Childminding","Kilmarnock",NA,NA,"No","2016_2",NA,"East Ayrshire",1,6,"Children","Mix",4,5,"Same","22/03/2017",NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child Minding",NA,"Private","Angel's Little Angels","Bathgate",NA,NA,"No","2016_3",NA,"West Lothian",NA,6,"Children","Mix",4,4,"Same","08/06/2017",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/04/2017"
"Day Care of Children","Day Care of Children (over 3s)","Private","Hummingbird Out of School Care Limited","Paisley","PA1 1DL","Hummingbird Out of School Care Limited","No","2016_2",NA,"Renfrewshire",2,30,"Children","Mix",4,4,"Same","18/01/2018",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/12/2017"
"Support Service","Care at Home","Private","Hamill Homecare","Glasgow","G1 5DT","Hamill Homecare Limited","No","2016_4",NA,"Glasgow City",12,0,"Adults","5 or 6",5,6,"Same","27/09/2023",6,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","22/08/2023"
"Child Minding",NA,"Private","Emma Louise McClenaghan Childminder","Bellshill",NA,NA,"No","2016_3",NA,"North Lanarkshire",NA,6,"Children","5 or 6",5,5,"Same","31/10/2022",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"20/10/2022"
"Day Care of Children","Day Care of Children (over 3s)","Private","Kids Academy","Ellon","AB41 8LF","Taylor, Shona","No","2016_4",NA,"Aberdeenshire",1.47,40,"Children","Mix",4,5,"Same","16/10/2018",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/08/2018"
"Support Service","Care at Home","Private","Monteith Personal Care Management Ltd","Edinburgh","EH16 4BB","Monteith Personal Care Management Limited","No","2016_7",NA,"City of Edinburgh",33.5,0,"Adults","Mix",4,5,"Same","12/02/2020",4,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/12/2019"
"Nurse Agency",NA,"Private","Busy Bees Care Limited","Edinburgh","EH6 5NP","Busy Bees Care Limited","No","2016_8",NA,"City of Edinburgh",1,NA,"Adults","Mix",4,4,"Same","07/08/2018",4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19/04/2018"
"Support Service","Care at Home","Voluntary or Not for Profit","Ark Borders","Hawick","TD9 9EA","Ark Housing Association Ltd","No","2016_2",NA,"Scottish Borders",71.14,0,"Adults","Mix",4,4,"Same","18/07/2023",4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/06/2023"
"Housing Support Service",NA,"Private","Magdalen House","Dundee","DD1 4LZ","Priority Care Limited","No","2017_9",NA,"Dundee City",15,0,"Adults","Mix",4,5,"Same","23/09/2022",5,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"20/09/2022"
"Support Service","Care at Home","Private","Angels Home Care Lanarkshire Ltd","Hamilton","ML3 7DH","Angels Home Care Lanarkshire Ltd","No","2016_2",NA,"South Lanarkshire",11.5,10,"Adults","Mix",4,5,"Same","18/12/2019",5,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/11/2019"
"Care Home Service","Children & Young People","Private","Spark of Genius Woodside","Ayr","KA6 6HQ","Spark of Genius (Training) Ltd","No","2016_1",NA,"South Ayrshire",21,6,"Children","1 or 2",2,2,"Same","03/05/2023",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"30/03/2023"
"Child Minding",NA,"Private","Latibugs Childminding Services","Aberdeen",NA,NA,"No","2016_2",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","22/11/2016",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Day Care of Children","Day Care of Children (under 3s)","Private","Kidzcare @ Portobello","Edinburgh","EH15 2AA","Kidzcare Ltd","No","2016_6",NA,"City of Edinburgh",10.57,40,"Children","Mix",4,5,"Same","28/03/2019",NA,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/11/2018"
"Day Care of Children","Day Care of Children (over 3s)","Private","Merrylee Out of School Club","Glasgow","G43 2PP","Sweeney, Monica","No","2015_12",NA,"Glasgow City",3.34,73,"Children","Mix",4,5,"Same","01/09/2020",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/01/2020"
